config	function	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	normalized_sha256
Os_noinline	WsfTimerServiceExpired	48	50	-2	no	no	010627b79094ab65e7d38d1f49fd9460d6e846d75ca196446b527a27a30adfa4	e497e1ee075b1d4c509080c426ae147fe9cec769c42dd6de52b7e2b51632edad
Os_noinline	WsfTimerUpdateTicks	104	160	-56	no	no	7cccf0322be7f3afbd894f3ad2277fb5e922fc6caae7b2a6158a6d93e1f66d54	47054399111376cfe4a82b528fdc5280f0990a0f796f95200971b269da43d718
Os_nosibling	wsfTimerRemove	40	40	0	no	no	1e75a82e5bc078385a75a5ba5559a6cffae4d13b00f795f14c888ab372d02d78	6424d849aa3d542493c0f2a89c63d6eb7a7d2b174c387d44e3d067dcc387153c
Os_nosibling	wsfTimerInsert	64	68	-4	no	no	f102b26901a02f369abd9e8b279b90f17cd8b04a92ac81f6d4bbdf810aa9d28e	504acd079c158f7a0e09c8d6f19293ae4b0fb2223a5ce4a93ce07a70cfdb914a
Os_nosibling	WsfTimer_handler	12	12	0	no	no	13d4ae6dcb343bee0d867f159133f1bad64ecfa2851a11e90293c8ae6537b06e	c05edc9a70dd097b7813f3c180da301ee54ff9ab10498f27d519624444421a82
Os_nosibling	WsfTimerInit	72	68	4	no	no	f8690d2f971128f262f772093065bb910ecd4904c7d6a9a8c268813be7096c47	40b21f55edbfb854bfefe7a7e52e30dbdccf80aa8f20352c5d00d9f28918a498
Os_nosibling	WsfTimerStartSec	12	12	0	no	no	997210e772e8c5c7a535cd727e1802453257d9add921ef1f22f144401b4944c8	7baf5f3582b2e6c120f197263f8090dc247c89afb6d90fd68131bb02ba6b47a0
Os_nosibling	WsfTimerStartMs	14	14	0	no	no	555039938cf705bddfe956e4f5371d5dc427af9bdf079a2b2ae0cae21e88b335	4c8d6bb034c6141ebe3357409ba67fafc57b8018489e1d5df5475b59fde8d866
Os_nosibling	WsfTimerStop	20	20	0	no	no	0b070afa03f10c08ebc73fe14c780a30dd21cfdf6888b6063cd535389a331f8a	bf6cdd76830120910fd3046b8588b3915947f7f500de46a352816ca91bd015ff
Os_nosibling	WsfTimerUpdate	52	52	0	no	no	86624f2508e71c8652994c0dae96c6f82388d9e24762572b8596692b19db0b96	4f1ef6b056a96b1aa0f2198d83efd2ca7eeaa80c1729a49d36e82ae8ca0e591a
Os_nosibling	WsfTimerNextExpiration	40	40	0	no	no	f20155cebdfa59be33968c4bf6e5201c8c9a0c6c2f7d0edf570d289701a65c18	0584cec09c5d09b48a20fc597ef2afbc9c63d93f85c58f499bd605ac2eb5f9f8
Os_nosibling	WsfTimerServiceExpired	48	50	-2	no	no	010627b79094ab65e7d38d1f49fd9460d6e846d75ca196446b527a27a30adfa4	e497e1ee075b1d4c509080c426ae147fe9cec769c42dd6de52b7e2b51632edad
Os_nosibling	WsfTimerUpdateTicks	96	160	-64	no	no	417a0381c5c171365450f18901077f5f4e0e57b8c1096c43b8b122eae249f3f1	98a3e7cef449dbe20d797508f0523f7469b2afc01f8248fe4832be6365e5ef72
