caller_entry,caller_name,callsite,callee_entry,callee_name,reference_type
0x000faeb2,"nrf_balloc_alloc",0x000faeee,0x000f9f1c,"app_util_critical_region_exit","UNCONDITIONAL_CALL"
0x000faef6,"nrf_balloc_free",0x000faf04,0x000f9ed4,"app_util_critical_region_enter","UNCONDITIONAL_CALL"
0x000faef6,"nrf_balloc_free",0x000faf20,0x000f9f1c,"app_util_critical_region_exit","UNCONDITIONAL_CALL"
0x000faf56,"nrf_bootloader_app_start_final",0x000faf6c,0x000fb770,"nrf_dfu_mbr_irq_forward_address_set","UNCONDITIONAL_CALL"
0x000faf56,"nrf_bootloader_app_start_final",0x000faf86,0x000fb004,"nrf_bootloader_acl_add","UNCONDITIONAL_CALL"
0x000faf56,"nrf_bootloader_app_start_final",0x000faf8c,0x000f9dc4,"app_error_handler_bare","UNCONDITIONAL_CALL"
0x000faf56,"nrf_bootloader_app_start_final",0x000faf90,0x000fb4d0,"nrf_dfu_bank0_start_addr","UNCONDITIONAL_CALL"
0x000faf56,"nrf_bootloader_app_start_final",0x000fafaa,0x000fb004,"nrf_bootloader_acl_add","UNCONDITIONAL_CALL"
0x000faf56,"nrf_bootloader_app_start_final",0x000fafb0,0x000f9dc4,"app_error_handler_bare","UNCONDITIONAL_CALL"
0x000fafdc,"nrf_bootloader_dfu_inactivity_timer_restart",0x000fafe6,0x000fd6bc,"timer_stop","UNCONDITIONAL_CALL"
0x000fafdc,"nrf_bootloader_dfu_inactivity_timer_restart",0x000faff8,0x000fd6a0,"timer_start","UNCONDITIONAL_CALL"
0x000fb044,"nrf_bootloader_fw_activate",0x000fb062,0x000f9d78,"nrf_bootloader_app_activate","UNCONDITIONAL_CALL"
0x000fb044,"nrf_bootloader_fw_activate",0x000fb068,0x000fd2a0,"nrf_bootloader_sd_activate","UNCONDITIONAL_CALL"
0x000fb044,"nrf_bootloader_fw_activate",0x000fb06e,0x000f9f50,"nrf_bootloader_bl_activate","UNCONDITIONAL_CALL"
0x000fb044,"nrf_bootloader_fw_activate",0x000fb074,0x000fd2a0,"nrf_bootloader_sd_activate","UNCONDITIONAL_CALL"
0x000fb044,"nrf_bootloader_fw_activate",0x000fb07a,0x000f9f50,"nrf_bootloader_bl_activate","UNCONDITIONAL_CALL"
0x000fb044,"nrf_bootloader_fw_activate",0x000fb082,0x000fb518,"nrf_dfu_bank_invalidate","UNCONDITIONAL_CALL"
0x000fb044,"nrf_bootloader_fw_activate",0x000fb08e,0x000fbae0,"nrf_dfu_settings_write_and_backup","UNCONDITIONAL_CALL"
0x000fb0b8,"nrf_bootloader_init",0x000fb0c0,0x000fb994,"nrf_dfu_settings_init","UNCONDITIONAL_CALL"
0x000fb0b8,"nrf_bootloader_init",0x000fb0c6,0x000fb044,"nrf_bootloader_fw_activate","UNCONDITIONAL_CALL"
0x000fb0b8,"nrf_bootloader_init",0x000fb0da,0x000fa870,"nrf_bootloader_app_is_valid","UNCONDITIONAL_CALL"
0x000fb0b8,"nrf_bootloader_init",0x000fb0e0,0x000fb1c0,"nrf_bootloader_wdt_init","UNCONDITIONAL_CALL"
0x000fb0b8,"nrf_bootloader_init",0x000fb0ea,0x000f9ea8,"app_sched_init","UNCONDITIONAL_CALL"
0x000fb0b8,"nrf_bootloader_init",0x000fb0f0,0x000f9dc4,"app_error_handler_bare","UNCONDITIONAL_CALL"
0x000fb0b8,"nrf_bootloader_init",0x000fb104,0x000fa4a4,"bootloader_reset","UNCONDITIONAL_CALL"
0x000fb0b8,"nrf_bootloader_init",0x000fb112,0x000fb73c,"nrf_dfu_init_user","UNCONDITIONAL_CALL"
0x000fb0b8,"nrf_bootloader_init",0x000fb11c,0x000fafdc,"nrf_bootloader_dfu_inactivity_timer_restart","UNCONDITIONAL_CALL"
0x000fb0b8,"nrf_bootloader_init",0x000fb122,0x000fb710,"nrf_dfu_init","UNCONDITIONAL_CALL"
